Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,Yield_t_ha
,,,,,,,
2004,jagatsinghapur,horse-gram,summer,40,25,55,0.32
2005,jagatsinghapur,horse-gram,summer,42,29,50,0.32
2006,jagatsinghapur,horse-gram,summer,43,32,9,0.24
2007,jagatsinghapur,horse-gram,summer,44,33,56,0.27
2008,jagatsinghapur,horse-gram,summer,46,35,29,0.23
2009,jagatsinghapur,horse-gram,summer,45,36,22,0.17
2010,jagatsinghapur,horse-gram,summer,42,31,23,0.3
2011,jagatsinghapur,horse-gram,summer,39,32,15,0.39
2012,jagatsinghapur,horse-gram,summer,38,30,11,0.31
2013,jagatsinghapur,horse-gram,summer,35,30,3,0.57
2014,jagatsinghapur,horse-gram,summer,36,29,13,0.48
2015,jagatsinghapur,horse-gram,summer,42,28,13,0.28
2016,jagatsinghapur,horse-gram,summer,40,30,1,0.4
,,,,,,,
2018,jagatsinghapur,horse-gram,summer,40.28,32,3,0.27
,,,,,,,
2020,jagatsinghapur,horse-gram,summer,41,30,29,0.1
2021,jagatsinghapur,horse-gram,summer,42,30,6,0.18
2022,jagatsinghapur,horse-gram,summer,42.8,31,2,0.4
,,,,,,,
2004,jagatsinghapur,potato,winter,33,25,414,10.98
2005,jagatsinghapur,potato,winter,35,22,360,10.83
2006,jagatsinghapur,potato,winter,28,19,450,12.18
2007,jagatsinghapur,potato,winter,29,21,337,14.54
2008,jagatsinghapur,potato,winter,30,20,303,10.86
2009,jagatsinghapur,potato,winter,32,22,446,13.87
2010,jagatsinghapur,potato,winter,28,25,276,13.97
2011,jagatsinghapur,potato,winter,34,24,208,14.17
2012,jagatsinghapur,potato,winter,26,23,213,17.32
2013,jagatsinghapur,potato,winter,28,25,313,17.39
2014,jagatsinghapur,potato,winter,15,21,291,16.36
2015,jagatsinghapur,potato,winter,22,20,201,15.07
2016,jagatsinghapur,potato,winter,43,19,162,19.03
2017,jagatsinghapur,potato,winter,44,20,68,13.74
2018,jagatsinghapur,potato,winter,40,22,61,20.87
2019,jagatsinghapur,potato,winter,31,21,62,16.2
2020,jagatsinghapur,potato,winter,30,22,76,15.52
2021,jagatsinghapur,potato,winter,35,23,98,16.95
2022,jagatsinghapur,potato,winter,36,22,148,14.52
,,,,,,,
2004,jagatsinghapur,sugarcane,winter,33,25,489,69.06
2005,jagatsinghapur,sugarcane,winter,35,22,433,75.91
2006,jagatsinghapur,sugarcane,winter,28,19,363,72.6
2007,jagatsinghapur,sugarcane,winter,29,21,403,88.98
2008,jagatsinghapur,sugarcane,winter,30,20,543,52.74
2009,jagatsinghapur,sugarcane,winter,32,22,120,53.83
2010,jagatsinghapur,sugarcane,winter,28,25,210,53.45
2011,jagatsinghapur,sugarcane,winter,34,24,598,59.8
2012,jagatsinghapur,sugarcane,winter,26,23,322,76.8
2013,jagatsinghapur,sugarcane,winter,28,25,266,69.29
2014,jagatsinghapur,sugarcane,winter,15,21,375,58.62
2015,jagatsinghapur,sugarcane,winter,22,20,196,62.27
2016,jagatsinghapur,sugarcane,winter,43,19,385,46.23
2017,jagatsinghapur,sugarcane,winter,44,20,186,48.4
2018,jagatsinghapur,sugarcane,winter,40,22,327,62.04
2019,jagatsinghapur,sugarcane,winter,31,21,336,39.11
2020,jagatsinghapur,sugarcane,winter,30,22,345,54.95
2021,jagatsinghapur,sugarcane,winter,35,23,135,55.8
2022,jagatsinghapur,sugarcane,winter,36,22,542,54.38
,,,,,,,
2004,jagatsinghapur,urad,summer,40,25,228,0.31
2005,jagatsinghapur,urad,summer,42,29,562,0.37
2006,jagatsinghapur,urad,summer,43,32,863,0.37
2007,jagatsinghapur,urad,summer,44,33,1130,0.28
2008,jagatsinghapur,urad,summer,46,35,840,0.34
2009,jagatsinghapur,urad,summer,45,36,764,0.29
2010,jagatsinghapur,urad,summer,42,31,793,0.33
2011,jagatsinghapur,urad,summer,39,32,495,0.38
2012,jagatsinghapur,urad,summer,38,30,502,0.32
2013,jagatsinghapur,urad,summer,35,30,311,0.39
2014,jagatsinghapur,urad,summer,36,29,522,0.43
2015,jagatsinghapur,urad,summer,42,28,714,0.44
2016,jagatsinghapur,urad,summer,40,30,956,0.4
2017,jagatsinghapur,urad,summer,40.5,33,445,0.4
2018,jagatsinghapur,urad,summer,40.28,32,666,0.31
2019,jagatsinghapur,urad,summer,40.98,31,482,0.17
2020,jagatsinghapur,urad,summer,41,30,975,0.06
2021,jagatsinghapur,urad,summer,42,30,1167,0.21
2022,jagatsinghapur,urad,summer,42.8,31,1241,0.31
,,,,,,,
2004,jagatsinghapur,urad,winter,33,25,3090,0.34
2005,jagatsinghapur,urad,winter,35,22,1754,0.24
2006,jagatsinghapur,urad,winter,28,19,2753,0.42
2007,jagatsinghapur,urad,winter,29,21,2316,0.4
2008,jagatsinghapur,urad,winter,30,20,1768,0.46
2009,jagatsinghapur,urad,winter,32,22,2082,0.41
2010,jagatsinghapur,urad,winter,28,25,2770,0.32
2011,jagatsinghapur,urad,winter,34,24,2895,0.43
2012,jagatsinghapur,urad,winter,26,23,2463,0.43
2013,jagatsinghapur,urad,winter,28,25,1767,0.29
2014,jagatsinghapur,urad,winter,15,21,1002,0.44
2015,jagatsinghapur,urad,winter,22,20,1172,0.43
2016,jagatsinghapur,urad,winter,43,19,412,0.5
2017,jagatsinghapur,urad,winter,44,20,187,0.38
2018,jagatsinghapur,urad,winter,40,22,179,0.39
2019,jagatsinghapur,urad,winter,31,21,183,0.33
2020,jagatsinghapur,urad,winter,30,22,178,0.37
2021,jagatsinghapur,urad,winter,35,23,628,0.3
2022,jagatsinghapur,urad,winter,36,22,588,0.38
,,,,,,,
2004,jagatsinghapur,moong(green-gram),summer,40,25,24951,0.36
2005,jagatsinghapur,moong(green-gram),summer,42,29,31074,0.37
2006,jagatsinghapur,moong(green-gram),summer,43,32,32253,0.32
2007,jagatsinghapur,moong(green-gram),summer,44,33,33199,0.25
2008,jagatsinghapur,moong(green-gram),summer,46,35,33770,0.34
2009,jagatsinghapur,moong(green-gram),summer,45,36,36336,0.36
2010,jagatsinghapur,moong(green-gram),summer,42,31,39925,0.4
2011,jagatsinghapur,moong(green-gram),summer,39,32,33814,0.4
2012,jagatsinghapur,moong(green-gram),summer,38,30,34652,0.39
2013,jagatsinghapur,moong(green-gram),summer,35,30,33155,0.54
2014,jagatsinghapur,moong(green-gram),summer,36,29,38304,0.45
2015,jagatsinghapur,moong(green-gram),summer,42,28,45996,0.36
2016,jagatsinghapur,moong(green-gram),summer,40,30,36748,0.45
2017,jagatsinghapur,moong(green-gram),summer,40.5,33,32339,0.46
2018,jagatsinghapur,moong(green-gram),summer,40.28,32,47155,0.29
2019,jagatsinghapur,moong(green-gram),summer,40.98,31,42030,0.17
2020,jagatsinghapur,moong(green-gram),summer,41,30,44583,0.06
2021,jagatsinghapur,moong(green-gram),summer,42,30,28600,0.24
2022,jagatsinghapur,moong(green-gram),summer,42.8,31,34919,0.35
,,,,,,,
2004,jagatsinghapur,rapeseed & mustard,winter,33,25,198,0.12
2005,jagatsinghapur,rapeseed & mustard,winter,35,22,43,0.16
2006,jagatsinghapur,rapeseed & mustard,winter,28,19,33,0.13
2007,jagatsinghapur,rapeseed & mustard,winter,29,21,20,0.25
2008,jagatsinghapur,rapeseed & mustard,winter,30,20,54,0.15
2009,jagatsinghapur,rapeseed & mustard,winter,32,22,70,0.13
2010,jagatsinghapur,rapeseed & mustard,winter,28,25,163,0.11
2011,jagatsinghapur,rapeseed & mustard,winter,34,24,14,0.18
2012,jagatsinghapur,rapeseed & mustard,winter,26,23,30,0.21
2013,jagatsinghapur,rapeseed & mustard,winter,28,25,33,0.34
2014,jagatsinghapur,rapeseed & mustard,winter,15,21,23,0.42
2015,jagatsinghapur,rapeseed & mustard,winter,22,20,1,0.3
2016,jagatsinghapur,rapeseed & mustard,winter,43,19,31,0.43
2017,,,,,,,
2018,jagatsinghapur,rapeseed & mustard,winter,40,22,18,0.28
2019,jagatsinghapur,rapeseed & mustard,winter,31,21,8,0.2
2020,jagatsinghapur,rapeseed & mustard,winter,30,22,12,0.25
2021,jagatsinghapur,rapeseed & mustard,winter,35,23,22,0.16
2022,jagatsinghapur,rapeseed & mustard,winter,36,22,63,0.26
,,,,,,,
2004,jagatsinghapur,rice,summer,40,25,1000,3
2005,jagatsinghapur,rice,summer,42,29,1000,2
2006,jagatsinghapur,rice,summer,43,32,2000,2
2007,jagatsinghapur,rice,summer,44,33,2000,1.5
2008,jagatsinghapur,rice,summer,46,35,3000,2
2009,jagatsinghapur,rice,summer,45,36,1000,2
2010,jagatsinghapur,rice,summer,42,31,1000,2
,,,,,,,
2012,jagatsinghapur,rice,summer,38,30,210000,0.01
2013,jagatsinghapur,rice,summer,35,30,1000,2
2014,jagatsinghapur,rice,summer,36,29,1000,4
,,,,,,,
2016,jagatsinghapur,rice,summer,40,30,140,2.79
2017,jagatsinghapur,rice,summer,40.5,33,900,2.9
2018,jagatsinghapur,rice,summer,40.28,32,290,1.41
2019,jagatsinghapur,rice,summer,40.98,31,1480,1.67
2020,jagatsinghapur,rice,summer,41,30,1130,3.35
2021,jagatsinghapur,rice,summer,42,30,813,2.53
2022,jagatsinghapur,rice,summer,42.8,31,640,3.42
,,,,,,,
2004,jagatsinghapur,rice,winter,33,25,92000,1.83
2005,jagatsinghapur,rice,winter,35,22,87000,1.86
2006,jagatsinghapur,rice,winter,28,19,87000,1.47
2007,jagatsinghapur,rice,winter,29,21,84000,1.75
2008,jagatsinghapur,rice,winter,30,20,86000,1.97
2009,jagatsinghapur,rice,winter,32,22,80000,1.99
2010,jagatsinghapur,rice,winter,28,25,85000,1.55
2011,jagatsinghapur,rice,winter,34,24,79000,2.44
2012,jagatsinghapur,rice,winter,26,23,71000,2.93
2013,jagatsinghapur,rice,winter,28,25,79000,2.01
2014,jagatsinghapur,rice,winter,15,21,82000,2.17
2015,jagatsinghapur,rice,winter,22,20,79000,2.56
2016,jagatsinghapur,rice,winter,43,19,86500,3
2017,jagatsinghapur,rice,winter,44,20,77340,1.93
2018,jagatsinghapur,rice,winter,40,22,79040,2.17
2019,jagatsinghapur,rice,winter,31,21,79940,2.12
2020,jagatsinghapur,rice,winter,30,22,82010,2.43
2021,jagatsinghapur,rice,winter,35,23,87373,1.69
2022,jagatsinghapur,rice,winter,36,22,76030,2.85
,,,,,,,
2004,jajapur,groundnut,autumn,259,31,209,0.48
2005,jajapur,groundnut,autumn,258,29,7,0.36
2006,jajapur,groundnut,autumn,260,29,27,0.78
2007,jajapur,groundnut,autumn,247,29,1,0.6
2008,jajapur,groundnut,autumn,238,26,9,0.49
2009,jajapur,groundnut,autumn,310,31,3,0.77
2010,jajapur,groundnut,autumn,278,29,40,0.99
,,,,,,,
2012,jajapur,groundnut,autumn,285,30,8,0.73
2013,jajapur,groundnut,autumn,265,26,89,1.3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2018,jajapur,groundnut,autumn,265,29,25,1.28
2019,jajapur,groundnut,autumn,230,27,22,0.93
2020,jajapur,groundnut,autumn,212,28,1,1.4
2021,jajapur,groundnut,autumn,230,29,4,1.43
2022,jajapur,groundnut,autumn,230,29,10,1.1
,,,,,,,
2004,jajapur,groundnut,summer,45,28,13587,1.68
2005,jajapur,groundnut,summer,48,29,14481,1.62
2006,jajapur,groundnut,summer,47,31,13354,1.37
2007,jajapur,groundnut,summer,42,33,12387,1.57
2008,jajapur,groundnut,summer,43,32,11777,1.37
2009,jajapur,groundnut,summer,40,31,13515,1.59
2010,jajapur,groundnut,summer,48,30,10719,1.42
2011,jajapur,groundnut,summer,49,33,13016,1.64
2012,jajapur,groundnut,summer,52,32,11386,0.98
2013,jajapur,groundnut,summer,53,31,10503,1.82
2014,jajapur,groundnut,summer,55,30,9900,1.2
2015,jajapur,groundnut,summer,56,29,12481,1.03
2016,jajapur,groundnut,summer,58,30,8247,1.49
2017,jajapur,groundnut,summer,59,31,6305,0.86
2018,jajapur,groundnut,summer,60,32,7663,1.17
2019,jajapur,groundnut,summer,38,31,6248,1.41
2020,jajapur,groundnut,summer,49,30,7157,1.55
2021,jajapur,groundnut,summer,50,28,5238,1.53
2022,jajapur,groundnut,summer,52,33,6164,1.4
,,,,,,,
2004,jajapur,horse-gram,winter,22,22,829,0.27
2005,jajapur,horse-gram,winter,21,21,1642,0.28
2006,jajapur,horse-gram,winter,23,25,1191,0.32
2007,jajapur,horse-gram,winter,25,23,1238,0.41
2008,jajapur,horse-gram,winter,26,24,1394,0.36
2009,jajapur,horse-gram,winter,24,22,1226,0.38
2010,jajapur,horse-gram,winter,19,21,1482,0.32
2011,jajapur,horse-gram,winter,18,20,1298,0.24
2012,jajapur,horse-gram,winter,25,19,1439,0.35
2013,jajapur,horse-gram,winter,26,18,427,0.24
2014,jajapur,horse-gram,winter,20,20,542,0.33
2015,jajapur,horse-gram,winter,21,22,572,0.33
2016,jajapur,horse-gram,winter,23,21,406,0.5
2017,jajapur,horse-gram,winter,21.5,20,659,0.32
2018,jajapur,horse-gram,winter,21.9,22,1024,0.25
2019,jajapur,horse-gram,winter,26,18,829,0.26
2020,jajapur,horse-gram,winter,28,19,845,0.21
2021,jajapur,horse-gram,winter,18,17,1140,0.18
2022,jajapur,horse-gram,winter,19,22,500,0.21
,,,,,,,
2004,jajapur,maize,autumn,259,31,154,0.55
2005,jajapur,maize,autumn,258,29,87,0.73
2006,jajapur,maize,autumn,260,29,45,0.54
2007,jajapur,maize,autumn,247,29,26,0.72
2008,jajapur,maize,autumn,238,26,24,1.42
2009,jajapur,maize,autumn,310,31,44,1.24
2010,jajapur,maize,autumn,278,29,44,1.13
2011,jajapur,maize,autumn,298,29,31,0.87
2012,jajapur,maize,autumn,285,30,317,0.7
2013,jajapur,maize,autumn,265,26,35,0.8
2014,jajapur,maize,autumn,240,27,45,0.7
2015,jajapur,maize,autumn,242,28,22,0.94
2016,jajapur,maize,autumn,243,30,5,0.86
,,,,,,,
2018,jajapur,maize,autumn,265,29,34,0.87
2019,jajapur,maize,autumn,230,27,,
2020,jajapur,maize,autumn,212,28,9,1.44
2021,jajapur,maize,autumn,230,29,18,1.68
2022,jajapur,maize,autumn,230,29,16,4.44
,,,,,,,
2004,jajapur,potato,winter,22,22,324,11.36
2005,jajapur,potato,winter,21,21,399,9.13
2006,jajapur,potato,winter,23,25,446,11.78
2007,jajapur,potato,winter,25,23,386,14.78
2008,jajapur,potato,winter,26,24,197,11.36
2009,jajapur,potato,winter,24,22,328,15
2010,jajapur,potato,winter,19,21,230,14.38
2011,jajapur,potato,winter,18,20,204,13.1
2012,jajapur,potato,winter,25,19,223,12.71
2013,jajapur,potato,winter,26,18,139,15.24
2014,jajapur,potato,winter,20,20,236,15.91
2015,jajapur,potato,winter,21,22,194,9.64
2016,jajapur,potato,winter,23,21,152,13.41
2017,jajapur,potato,winter,21.5,20,168,10.78
2018,jajapur,potato,winter,21.9,22,197,11.71
2019,jajapur,potato,winter,26,18,141,12.78
2020,jajapur,potato,winter,28,19,298,11.25
2021,jajapur,potato,winter,18,17,339,11.09
2022,jajapur,potato,winter,19,22,503,9.47
,,,,,,,
2004,jajapur,sugarcane,winter,22,22,239,47.35
2005,jajapur,sugarcane,winter,21,21,234,55.45
2006,jajapur,sugarcane,winter,23,25,411,56.65
2007,jajapur,sugarcane,winter,25,23,434,46.39
2008,jajapur,sugarcane,winter,26,24,117,43.6
2009,jajapur,sugarcane,winter,24,22,666,52.2
2010,jajapur,sugarcane,winter,19,21,111,53.78
2011,jajapur,sugarcane,winter,18,20,574,42.69
2012,jajapur,sugarcane,winter,25,19,805,44.5
2013,jajapur,sugarcane,winter,26,18,1052,43.83
2014,jajapur,sugarcane,winter,20,20,409,44.31
2015,jajapur,sugarcane,winter,21,22,831,39.41
2016,jajapur,sugarcane,winter,23,21,293,47.54
2017,jajapur,sugarcane,winter,21.5,20,708,44.98
2018,jajapur,sugarcane,winter,21.9,22,295,39.13
2019,jajapur,sugarcane,winter,26,18,1673,40.92
2020,jajapur,sugarcane,winter,28,19,986,43.18
2021,jajapur,sugarcane,winter,18,17,616,19.46
2022,jajapur,sugarcane,winter,19,22,917,48.41
,,,,,,,
2004,jajapur,groundnut,summer,45,28,8,0.3
2005,jajapur,groundnut,summer,48,29,22,0.2
2006,jajapur,groundnut,summer,47,31,18,0.31
2007,jajapur,groundnut,summer,42,33,173,0.31
2008,jajapur,groundnut,summer,43,32,20,0.38
2009,jajapur,groundnut,summer,40,31,21,0.31
2010,jajapur,groundnut,summer,48,30,106,0.18
2011,jajapur,groundnut,summer,49,33,23,0.3
2012,jajapur,groundnut,summer,52,32,192,0.46
2013,jajapur,groundnut,summer,53,31,38,0.36
2014,jajapur,groundnut,summer,55,30,24,0.3
2015,jajapur,groundnut,summer,56,29,8,0.16
2016,jajapur,groundnut,summer,58,30,17,0.41
2017,jajapur,groundnut,summer,59,31,4,0.1
2018,jajapur,groundnut,summer,60,32,39,0.24
2019,jajapur,groundnut,summer,38,31,9,0.19
2020,jajapur,groundnut,summer,49,30,61,0.2
2021,jajapur,groundnut,summer,50,28,6,0.03
2022,jajapur,groundnut,summer,52,33,4,0.1
,,,,,,,
2004,jajapur,horse-gram,winter,22,22,8008,0.27
2005,jajapur,horse-gram,winter,21,21,6186,0.3
2006,jajapur,horse-gram,winter,23,25,9674,0.35
2007,jajapur,horse-gram,winter,25,23,12458,0.42
2008,jajapur,horse-gram,winter,26,24,9485,0.34
2009,jajapur,horse-gram,winter,24,22,8958,0.35
2010,jajapur,horse-gram,winter,19,21,8614,0.3
2011,jajapur,horse-gram,winter,18,20,13740,0.25
2012,jajapur,horse-gram,winter,25,19,6655,0.35
2013,jajapur,horse-gram,winter,26,18,3612,0.15
2014,jajapur,horse-gram,winter,20,20,7294,0.33
2015,jajapur,horse-gram,winter,21,22,3826,0.32
2016,jajapur,horse-gram,winter,23,21,6755,0.52
2017,jajapur,horse-gram,winter,21.5,20,3995,0.35
2018,jajapur,horse-gram,winter,21.9,22,5107,0.25
2019,jajapur,horse-gram,winter,26,18,4263,0.28
2020,jajapur,horse-gram,winter,28,19,5230,0.25
2021,jajapur,horse-gram,winter,18,17,6481,0.19
2022,jajapur,horse-gram,winter,19,22,4976,0.21
,,,,,,,
2004,jajapur,moong(green-gram),summer,45,28,11286,0.25
2005,jajapur,moong(green-gram),summer,48,29,13556,0.3
2006,jajapur,moong(green-gram),summer,47,31,12646,0.25
2007,jajapur,moong(green-gram),summer,42,33,13543,0.2
2008,jajapur,moong(green-gram),summer,43,32,7665,0.24
2009,jajapur,moong(green-gram),summer,40,31,8501,0.3
2010,jajapur,moong(green-gram),summer,48,30,10723,0.26
2011,jajapur,moong(green-gram),summer,49,33,10297,0.24
2012,jajapur,moong(green-gram),summer,52,32,10251,0.25
2013,jajapur,moong(green-gram),summer,53,31,9431,0.29
2014,jajapur,moong(green-gram),summer,55,30,12248,0.27
2015,jajapur,moong(green-gram),summer,56,29,10466,0.23
2016,jajapur,moong(green-gram),summer,58,30,14949,0.41
2017,jajapur,moong(green-gram),summer,59,31,9812,0.4
2018,jajapur,moong(green-gram),summer,60,32,8914,0.21
2019,jajapur,moong(green-gram),summer,38,31,11984,0.25
2020,jajapur,moong(green-gram),summer,49,30,6089,0.15
2021,jajapur,moong(green-gram),summer,50,28,2009,0.2
2022,jajapur,moong(green-gram),summer,52,33,4537,0.24
,,,,,,,
2004,jajapur,moong(green-gram),winter,22,22,43,0.04
2005,jajapur,moong(green-gram),winter,21,21,4,0.43
2006,jajapur,moong(green-gram),winter,23,25,18,0.31
2007,jajapur,moong(green-gram),winter,25,23,36,0.53
2008,jajapur,moong(green-gram),winter,26,24,21,0.09
2009,jajapur,moong(green-gram),winter,24,22,3,0.23
2010,jajapur,moong(green-gram),winter,19,21,19,0.14
2011,jajapur,moong(green-gram),winter,18,20,6,0.17
2012,jajapur,moong(green-gram),winter,25,19,8,0.44
2013,jajapur,moong(green-gram),winter,26,18,30,0.11
,,,,,,,
,,,,,,,
2016,jajapur,moong(green-gram),winter,23,21,20,0.46
,,,,,,,
,,,,,,,
2019,jajapur,moong(green-gram),winter,26,18,154,0.19
,,,,,,,
2021,jajapur,moong(green-gram),winter,18,17,74,0.28
2022,jajapur,moong(green-gram),winter,19,22,,
,,,,,,,
2004,jajapur,rapeseed & mustard,winter,22,22,188,0.06
2005,jajapur,rapeseed & mustard,winter,21,21,366,0.11
2006,jajapur,rapeseed & mustard,winter,23,25,285,0.1
2007,jajapur,rapeseed & mustard,winter,25,23,362,0.12
2008,jajapur,rapeseed & mustard,winter,26,24,311,0.07
2009,jajapur,rapeseed & mustard,winter,24,22,239,0.08
2010,jajapur,rapeseed & mustard,winter,19,21,205,0.09
2011,jajapur,rapeseed & mustard,winter,18,20,243,0.09
2012,jajapur,rapeseed & mustard,winter,25,19,241,0.18
2013,jajapur,rapeseed & mustard,winter,26,18,187,0.07
2014,jajapur,rapeseed & mustard,winter,20,20,107,0.13
2015,jajapur,rapeseed & mustard,winter,21,22,96,0.09
2016,jajapur,rapeseed & mustard,winter,23,21,76,0.17
2017,jajapur,rapeseed & mustard,winter,21.5,20,333,0.15
2018,jajapur,rapeseed & mustard,winter,21.9,22,170,0.11
2019,jajapur,rapeseed & mustard,winter,26,18,143,0.14
2020,jajapur,rapeseed & mustard,winter,28,19,211,0.12
2021,jajapur,rapeseed & mustard,winter,18,17,433,0.09
2022,jajapur,rapeseed & mustard,winter,19,22,419,0.09
,,,,,,,
2004,jajapur,rice,autumn,259,31,20000,0.75
2005,jajapur,rice,autumn,258,29,19000,1.21
2006,jajapur,rice,autumn,260,29,18000,0.94
2007,jajapur,rice,autumn,247,29,16000,0.75
2008,jajapur,rice,autumn,238,26,14000,0.71
2009,jajapur,rice,autumn,310,31,20000,1.3
2010,jajapur,rice,autumn,278,29,14000,0.71
2011,jajapur,rice,autumn,298,29,12000,0.33
2012,jajapur,rice,autumn,285,30,16000,0.88
2013,jajapur,rice,autumn,265,26,15000,1.2
2014,jajapur,rice,autumn,240,27,13000,1
2015,jajapur,rice,autumn,242,28,16000,1.13
2016,jajapur,rice,autumn,243,30,14250,1.32
2017,jajapur,rice,autumn,245,28,15150,0.69
2018,jajapur,rice,autumn,265,29,11040,1.22
2019,jajapur,rice,autumn,230,27,11280,1.05
2020,jajapur,rice,autumn,212,28,14130,0.69
2021,jajapur,rice,autumn,230,29,12539,0.9
2022,jajapur,rice,autumn,230,29,11830,1.46
,,,,,,,
2004,jajapur,rice,summer,45,28,2000,2.5
2005,jajapur,rice,summer,48,29,1000,3
2006,jajapur,rice,summer,47,31,2000,1.5
2007,jajapur,rice,summer,42,33,4000,2.5
2008,jajapur,rice,summer,43,32,3000,2.33
2009,jajapur,rice,summer,40,31,1000,3
2010,jajapur,rice,summer,48,30,2000,1.5
2011,jajapur,rice,summer,49,33,1000,3
2012,jajapur,rice,summer,52,32,213000,0.02
2013,jajapur,rice,summer,53,31,2000,3
2014,jajapur,rice,summer,55,30,2000,2.5
2015,jajapur,rice,summer,56,29,1000,2
2016,jajapur,rice,summer,58,30,1140,2.86
2017,jajapur,rice,summer,59,31,1260,2.88
2018,jajapur,rice,summer,60,32,450,1.33
2019,jajapur,rice,summer,38,31,650,1.32
2020,jajapur,rice,summer,49,30,1680,2.86
2021,jajapur,rice,summer,50,28,3101,3.11
2022,jajapur,rice,summer,52,33,770,2.49
,,,,,,,
2004,jajapur,rice,winter,22,22,117000,1.37
2005,jajapur,rice,winter,21,21,118000,1.81
2006,jajapur,rice,winter,23,25,113000,1.4
2007,jajapur,rice,winter,25,23,114000,1.6
2008,jajapur,rice,winter,26,24,122000,1.57
2009,jajapur,rice,winter,24,22,122000,1.87
2010,jajapur,rice,winter,19,21,110000,1.45
2011,jajapur,rice,winter,18,20,108000,1.17
2012,jajapur,rice,winter,25,19,106000,1.88
2013,jajapur,rice,winter,26,18,109000,1.01
2014,jajapur,rice,winter,20,20,114000,1.94
2015,jajapur,rice,winter,21,22,93000,1.25
2016,jajapur,rice,winter,23,21,89880,2.77
2017,jajapur,rice,winter,21.5,20,90920,1.47
2018,jajapur,rice,winter,21.9,22,105410,1.8
2019,jajapur,rice,winter,26,18,121960,1.83
2020,jajapur,rice,winter,28,19,113940,1.93
2021,jajapur,rice,winter,18,17,84706,1.74
2022,jajapur,rice,winter,19,22,101170,2.48
,,,,,,,
2004,jajapur,jute,autumn,259,31,394,9.07
2005,jajapur,jute,autumn,258,29,267,6.18
2006,jajapur,jute,autumn,260,29,648,7.21
2007,jajapur,jute,autumn,247,29,1270,6.24
2008,jajapur,jute,autumn,238,26,358,5.52
2009,jajapur,jute,autumn,310,31,530,7.83
2010,jajapur,jute,autumn,278,29,730,10.35
2011,jajapur,jute,autumn,298,29,1275,4.92
2012,jajapur,jute,autumn,285,30,394,1.19
2013,jajapur,jute,autumn,265,26,196,1.72
2014,jajapur,jute,autumn,240,27,131,0.27
2015,jajapur,jute,autumn,242,28,156,1.62
2016,jajapur,jute,autumn,243,30,41,2.15
2017,jajapur,jute,autumn,245,28,6,1.72
2018,jajapur,jute,autumn,265,29,12,1.78
2019,jajapur,jute,autumn,230,27,13,2.18
2020,jajapur,jute,autumn,212,28,45,10.6
2021,jajapur,jute,autumn,230,29,395,13.52
2022,jajapur,jute,autumn,230,29,891,0.14
,,,,,,,
2004,jharsuguda,groundnut,autumn,250,31,160,0.64
2005,jharsuguda,groundnut,autumn,252,28,119,0.68
2006,jharsuguda,groundnut,autumn,253,28,34,0.81
2007,jharsuguda,groundnut,autumn,251,29,29,0.86
2008,jharsuguda,groundnut,autumn,248,27,52,1.09
2009,jharsuguda,groundnut,autumn,249,27,132,0.47
2010,jharsuguda,groundnut,autumn,263,28,420,0.75
2011,jharsuguda,groundnut,autumn,289,28,457,0.74
2012,jharsuguda,groundnut,autumn,210,29,226,0.84
2013,jharsuguda,groundnut,autumn,230,29,90,1.42
2014,jharsuguda,groundnut,autumn,236,30,171,2.39
2015,jharsuguda,groundnut,autumn,245,28,15,2.23
2016,jharsuguda,groundnut,autumn,250,29,21,1.09
2017,jharsuguda,groundnut,autumn,252.2,28,135,1.32
2018,jharsuguda,groundnut,autumn,259,29,68,1.55
,,,,,,,
2020,jharsuguda,groundnut,autumn,249,28,149,1.47
2021,jharsuguda,groundnut,autumn,247,29,158,1.36
2022,jharsuguda,groundnut,autumn,250,30,75,1.6
,,,,,,,
2004,jharsuguda,groundnut,summer,22,23,125,0.94
2005,jharsuguda,groundnut,summer,21,27,48,1.01
2006,jharsuguda,groundnut,summer,23,32,63,1
2007,jharsuguda,groundnut,summer,21,33,32,1.05
2008,jharsuguda,groundnut,summer,20,35,188,1.13
2009,jharsuguda,groundnut,summer,20,34,46,0.9
2010,jharsuguda,groundnut,summer,19,33,54,1.29
2011,jharsuguda,groundnut,summer,18,32,68,1.31
2012,jharsuguda,groundnut,summer,19,31,84,1.65
2013,jharsuguda,groundnut,summer,20,30,43,1.96
2014,jharsuguda,groundnut,summer,20,29,58,1.62
2015,jharsuguda,groundnut,summer,23,30,1,1
2016,jharsuguda,groundnut,summer,23,30,41,1.47
2017,jharsuguda,groundnut,summer,24,32,33,1.28
2018,jharsuguda,groundnut,summer,25,31,2,1.35
2019,jharsuguda,groundnut,summer,21,30,62,1.48
2020,jharsuguda,groundnut,summer,20,29,13,1.55
2021,jharsuguda,groundnut,summer,20,28,138,2.27
2022,jharsuguda,groundnut,summer,21,31,64,2.1
,,,,,,,
2004,jharsuguda,horse-gram,winter,8,23,473,0.37
2005,jharsuguda,horse-gram,winter,9,20,425,0.36
2006,jharsuguda,horse-gram,winter,10,25,361,0.34
2007,jharsuguda,horse-gram,winter,11,21,283,0.31
2008,jharsuguda,horse-gram,winter,12,22,188,0.31
